TIME,TRACKER Lat,TRACKER Lon,Alt AGL (ft),,,,,,,,,Needed for google earth ->,,,TRACKER Alt asl
2:56:04 PM,47.96482,-81.87402,-7.288,,,,,,,,,,,,1403
2:56:05 PM,47.96482,-81.87402,-7.374,,,,,,,,,,,,1402.9
2:56:06 PM,47.96482,-81.87402,-7.508,,,,,,,,,,,,1402.7
2:56:07 PM,47.96482,-81.87402,-7.567,,,,,,,,,,,,1402.7
2:56:08 PM,47.96482,-81.87402,-7.823,,,,,,,,,,,,1402.4
2:56:10 PM,47.96482,-81.87402,-8.459,,,,,,,,,,,,1401.8
2:56:11 PM,47.96482,-81.87402,-8.715,,,,,,,,,,,,1401.5
2:56:12 PM,47.96482,-81.87402,-8.833,,,,,,,,,,,,1401.4
2:56:13 PM,47.96482,-81.87402,-8.902,,,,,,,,,,,,1401.4
2:56:14 PM,47.96482,-81.87402,-8.994,,,,,,,,,,,,1401.3
2:56:15 PM,47.96482,-81.87402,-9.132,,,,,,,,,,,,1401.1
2:56:16 PM,47.96482,-81.87402,-9.221,,,,,,,,,,,,1401
2:56:17 PM,47.96482,-81.87402,-9.437,,,,,,,,,,,,1400.8
2:56:18 PM,47.96482,-81.87402,-9.631,,,,,,,,,,,,1400.6
2:56:19 PM,47.96482,-81.87402,-9.982,,,,,,,,,,,,1400.3
2:56:20 PM,47.96482,-81.87402,-10.32,,,,,,,,,,,,1399.9
2:56:21 PM,47.96482,-81.87402,-10.52,,,,,,,,,,,,1399.7
2:56:22 PM,47.96482,-81.87402,-10.904,,,,,,,,,,,,1399.4
2:56:23 PM,47.96482,-81.87402,-11.311,,,,,,,,,,,,1398.9
2:56:24 PM,47.96482,-81.87402,-11.78,,,,,,,,,,,,1398.5
2:56:25 PM,47.96482,-81.87402,-12.121,,,,,,,,,,,,1398.1
2:56:26 PM,47.96482,-81.87402,-12.387,,,,,,,,,,,,1397.9
2:56:27 PM,47.96482,-81.87402,-12.544,,,,,,,,,,,,1397.7
2:56:28 PM,47.96482,-81.87402,-12.659,,,,,,,,,,,,1397.6
2:56:29 PM,47.96482,-81.87402,-12.793,,,,,,,,,,,,1397.5
2:56:31 PM,47.96482,-81.87402,-13.082,,,,,,,,,,,,1397.2
